Date,District,Latitude,Longitude,Precip,Temp_2m,MaxTemp_2m,MinTemp_2m,RH_2m,Humidity_2m
2022-01-01,Arghakhanchi,27.95,83.22,0.0,11.46,16.46,7.92,55.92,5.26
2022-01-02,Arghakhanchi,27.95,83.22,0.0,11.29,16.45,7.65,50.85,4.73
2022-01-03,Arghakhanchi,27.95,83.22,0.0,12.28,17.53,8.61,52.38,5.24
2022-01-04,Arghakhanchi,27.95,83.22,0.0,12.42,18.15,9.28,55.17,5.52
2022-01-05,Arghakhanchi,27.95,83.22,1.21,12.0,16.82,9.58,65.78,6.47
2022-01-06,Arghakhanchi,27.95,83.22,4.22,10.95,15.9,7.91,83.61,7.66
2022-01-07,Arghakhanchi,27.95,83.22,0.57,12.34,16.98,9.89,70.37,7.04
2022-01-08,Arghakhanchi,27.95,83.22,0.87,12.96,17.57,9.57,66.89,7.01
2022-01-09,Arghakhanchi,27.95,83.22,0.08,12.9,18.81,9.64,57.97,6.05
2022-01-10,Arghakhanchi,27.95,83.22,0.01,13.31,17.19,9.96,64.02,6.89
2022-01-11,Arghakhanchi,27.95,83.22,0.06,12.89,17.58,9.53,66.87,6.96
2022-01-12,Arghakhanchi,27.95,83.22,5.3,11.32,15.27,6.93,74.41,6.96
2022-01-13,Arghakhanchi,27.95,83.22,0.37,10.45,16.34,7.07,70.84,6.21
2022-01-14,Arghakhanchi,27.95,83.22,0.0,10.98,16.09,7.98,63.72,5.87
2022-01-15,Arghakhanchi,27.95,83.22,0.0,10.17,15.66,6.57,69.69,6.02
2022-01-16,Arghakhanchi,27.95,83.22,0.0,10.95,17.58,5.94,49.64,4.49
2022-01-17,Arghakhanchi,27.95,83.22,0.0,11.49,16.45,9.16,54.28,5.14
2022-01-18,Arghakhanchi,27.95,83.22,0.0,11.73,16.31,8.04,60.86,5.83
2022-01-19,Arghakhanchi,27.95,83.22,0.0,10.45,15.77,7.2,70.45,6.25
2022-01-20,Arghakhanchi,27.95,83.22,0.16,10.37,14.28,7.67,76.78,6.8
2022-01-21,Arghakhanchi,27.95,83.22,0.06,10.08,15.6,6.51,72.49,6.17
2022-01-22,Arghakhanchi,27.95,83.22,0.35,9.1,13.71,5.36,72.04,5.81
2022-01-23,Arghakhanchi,27.95,83.22,6.86,8.63,12.67,5.48,85.98,6.82
2022-01-24,Arghakhanchi,27.95,83.22,2.9,9.17,13.03,6.68,83.98,6.87
2022-01-25,Arghakhanchi,27.95,83.22,0.21,9.95,14.69,6.76,68.18,5.83
2022-01-26,Arghakhanchi,27.95,83.22,0.95,8.56,12.34,6.49,80.67,6.3
2022-01-27,Arghakhanchi,27.95,83.22,0.0,8.34,14.16,4.5,77.92,5.9
2022-01-28,Arghakhanchi,27.95,83.22,0.0,8.53,14.46,4.89,68.22,5.26
2022-01-29,Arghakhanchi,27.95,83.22,0.0,9.55,15.82,5.65,63.06,5.25
2022-01-30,Arghakhanchi,27.95,83.22,0.0,10.61,17.55,6.42,63.62,5.67
